m.diff	sd.ratio	n1	n.ratio	exp_cohen	exp_glass1	exp_glass2	exp_cohenprime	exp_shieh	var_cohen	var_glass1	var_glass2	var_cohenprime	var_shieh
1	2	50	1	0,003	0,001	0,002	0,001	0	1,048	0,977	0,972	0,98	0,98
1	0,1	50	1	0,002	0,006	0,001	0,001	0	1,017	0,993	0,995	0,995	0,995
1	0,5	50	1	0,001	0,001	0,001	0,001	0	1,023	0,993	0,997	0,998	0,998
1	0,25	50	1	0,001	0,001	0,001	0,001	0	1,017	0,987	0,989	0,989	0,989
2	10	50	1	0,019	0,002	0,023	0,002	0,001	1,475	0,961	0,968	0,961	0,961
2	4	50	1	0,015	0,001	0,005	0,001	0,001	1,357	0,957	0,965	0,959	0,959
2	2	50	1	0,005	0,003	0,002	0,002	0,001	1,133	0,964	0,963	0,969	0,969
2	0,1	50	1	0,002	0,001	0	0	0	1,024	0,993	0,994	0,994	0,994
2	0,5	50	1	0,003	0	0	0	0	1,049	0,978	0,976	0,981	0,981
2	0,25	50	1	0,004	0	0	0	0	1,054	0,993	0,991	0,992	0,992
3	10	50	1	0,031	0	0,012	0,001	0	1,659	0,96	0,957	0,96	0,96
3	4	50	1	0,02	0,004	0,015	0,005	0,002	1,492	0,949	0,953	0,95	0,95
3	2	50	1	0,008	0,002	0,008	0,002	0,001	1,196	0,96	0,952	0,964	0,964
3	0,1	50	1	0,003	0,002	0	0	0	1,046	0,996	1,003	1,003	1,003
3	0,5	50	1	0,005	0,003	0,001	0	0	1,101	0,977	0,976	0,981	0,981
3	0,25	50	1	0,005	0,005	0,001	0,002	0,001	1,1	0,986	0,987	0,988	0,988
4	10	50	1	0,038	0,003	0,028	0,005	0,002	1,752	0,955	0,951	0,955	0,955
4	4	50	1	0,031	0,002	0,006	0,002	0,001	1,585	0,954	0,951	0,956	0,956
4	2	50	1	0,012	0,004	0,001	0,002	0,001	1,234	0,958	0,95	0,962	0,962
4	0,1	50	1	0,004	0,005	0	0	0	1,049	0,986	0,989	0,989	0,989
4	0,5	50	1	0,007	0,002	0	0	0	1,137	0,966	0,966	0,971	0,971
4	0,25	50	1	0,007	0,003	0,001	0,002	0,001	1,151	0,979	0,978	0,98	0,98
			max	0,079	0,036	0,221	0,034	0,017	1,753	1,004	1,008	1,008	1,008
			min	0	0	0	0	0	1,005	0,888	0,883	0,89	0,89
			mean	0,01	0,005	0,012	0,003	0,002	1,175	0,973	0,974	0,978	0,978
			sd	0,015	0,007	0,032	0,006	0,003	0,208	0,03	0,032	0,029	0,029
