"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"65";20;20;1;0;1;0,25;0,99725;0,99725;0,99725;0,99639;0,99639;0,99639;0,99639;0,99639;0,99639;0,99649;0,99649;0,99649;0,99649;0,99649;0,99649
"66";20;20;1;0;1;0,5;0,97938;0,97937;0,97937;0,97643;0,97643;0,97643;0,97643;0,97643;0,97643;0,97793;0,97793;0,97793;0,97793;0,97793;0,97793
"67";20;20;1;0;1;1;0,87055;0,87055;0,87055;0,86079;0,86079;0,86079;0,86079;0,86079;0,86079;0,86668;0,86668;0,86668;0,86668;0,86668;0,86668
"68";20;20;1;0;1;10;0,27922;0,27922;0,27922;0,27019;0,27019;0,27019;0,27019;0,27019;0,27019;0,27123;0,27123;0,27123;0,27123;0,27123;0,27123
"69";20;20;1;0;1;2;0,64414;0,64412;0,64412;0,63033;0,63032;0,63032;0,63033;0,63033;0,63033;0,63768;0,63768;0,63768;0,63768;0,63768;0,63768
"70";20;20;1;0;1;4;0,43247;0,43247;0,43247;0,41991;0,41991;0,41991;0,41991;0,41991;0,41991;0,4244;0,4244;0,4244;0,4244;0,4244;0,4244
"71";20;50;0;0;1;0,1;0,30219;0,30219;0,30219;0,16466;0,16466;0,16466;0,17336;0,17334;0,17334;0,16594;0,16594;0,16594;0,16517;0,16517;0,16517
"72";20;50;0;0;1;0,25;0,25837;0,25836;0,25836;0,15544;0,15544;0,15544;0,16454;0,16454;0,16454;0,16075;0,16075;0,16075;0,15841;0,15841;0,15841
"73";20;50;0;0;1;0,5;0,15491;0,15491;0,15491;0,12581;0,12581;0,12581;0,13561;0,13561;0,13561;0,13575;0,13575;0,13575;0,13363;0,13363;0,13363
"74";20;50;0;0;1;1;0,0416;0,0416;0,0416;0,05506;0,05506;0,05506;0,06474;0,06474;0,06474;0,06476;0,06476;0,06476;0,06463;0,06462;0,06462
"75";20;50;0;0;1;10;0,04511;0,04511;0,04511;0,10477;0,10477;0,10477;0,11315;0,11315;0,11315;0,11341;0,1134;0,1134;0,1137;0,1137;0,1137
"76";20;50;0;0;1;2;0,03975;0,03975;0,03975;0,035;0,035;0,035;0,04333;0,04333;0,04333;0,04344;0,04344;0,04344;0,04199;0,04199;0,04199
"77";20;50;0;0;1;4;0,04343;0,04342;0,04342;0,07636;0,07635;0,07635;0,08478;0,08478;0,08478;0,08568;0,08568;0,08568;0,08545;0,08545;0,08545
"78";20;50;1;0;1;0,1;1;1;1;0,99728;0,99728;0,99728;0,99815;0,99815;0,99815;0,99729;0,99729;0,99729;0,99729;0,99728;0,99728
"79";20;50;1;0;1;0,25;0,99991;0,99991;0,99991;0,99687;0,99687;0,99687;0,9978;0,9978;0,9978;0,9969;0,9969;0,9969;0,99687;0,99687;0,99687
"80";20;50;1;0;1;0,5;0,99688;0,99688;0,99688;0,99535;0,99535;0,99535;0,9967;0,9967;0,9967;0,99578;0,99578;0,99578;0,99574;0,99574;0,99574
"81";20;50;1;0;1;1;0,93206;0,93205;0,93205;0,96396;0,96396;0,96396;0,96901;0,96901;0,96901;0,96876;0,96876;0,96876;0,96831;0,96831;0,96831
"82";20;50;1;0;1;10;0,12884;0,12884;0,12884;0,25171;0,2517;0,2517;0,26638;0,26638;0,26638;0,26671;0,26671;0,26671;0,26705;0,26705;0,26705
"83";20;50;1;0;1;2;0,64895;0,64895;0,64895;0,77796;0,77795;0,77795;0,79479;0,79479;0,79479;0,79592;0,79592;0,79592;0,79579;0,79579;0,79579
"84";20;50;1;0;1;4;0,32517;0,32516;0,32516;0,49139;0,49137;0,49137;0,51196;0,51196;0,51196;0,51307;0,51306;0,51306;0,51373;0,51371;0,51371
"85";50;100;0;0;1;0,1;0,21948;0,21948;0,21948;0,11747;0,11747;0,11747;0,1205;0,1205;0,1205;0,11782;0,11782;0,11782;0,11767;0,11767;0,11767
"86";50;100;0;0;1;0,25;0,19241;0,1924;0,1924;0,11147;0,11147;0,11147;0,11425;0,11425;0,11425;0,11284;0,11284;0,11284;0,11227;0,11227;0,11227
"87";50;100;0;0;1;0,5;0,12474;0,12473;0,12473;0,09044;0,09044;0,09044;0,09332;0,09332;0,09332;0,09336;0,09336;0,09336;0,09281;0,0928099999999999;0,0928099999999999
"88";50;100;0;0;1;1;0,04389;0,04389;0,04389;0,04927;0,04926;0,04926;0,05197;0,05197;0,05197;0,05239;0,05239;0,05239;0,05239;0,05239;0,05239
"89";50;100;0;0;1;10;0,0371;0,0371;0,0371;0,08613;0,08613;0,08613;0,08908;0,08908;0,08908;0,08914;0,08913;0,08913;0,08921;0,08921;0,08921
"90";50;100;0;0;1;2;0,03508;0,03508;0,03508;0,04618;0,04618;0,04618;0,04886;0,04886;0,04886;0,04925;0,04925;0,04925;0,04902;0,04902;0,04902
"91";50;100;0;0;1;4;0,03609;0,03609;0,03609;0,0715;0,0714900000000001;0,0714900000000001;0,07422;0,07422;0,07422;0,07476;0,07474;0,07474;0,07485;0,07485;0,07485
"92";50;100;1;0;1;0,1;1;1;1;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992
"93";50;100;1;0;1;0,25;1;1;1;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992
"94";50;100;1;0;1;0,5;0,99991;0,99991;0,99991;0,99993;0,99993;0,99993;0,99995;0,99995;0,99995;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993
"95";50;100;1;0;1;1;0,99526;0,99526;0,99526;0,99828;0,99828;0,99828;0,99842;0,99842;0,99842;0,9984;0,9984;0,9984;0,9984;0,9984;0,9984
"96";50;100;1;0;1;10;0,16894;0,16894;0,16894;0,29636;0,29635;0,29635;0,30196;0,30196;0,30196;0,30211;0,30209;0,30209;0,30229;0,30228;0,30228
"97";50;100;1;0;1;2;0,88506;0,88504;0,88504;0,94432;0,94432;0,94432;0,94649;0,94649;0,94649;0,94671;0,94671;0,94671;0,9468;0,94679;0,94679
"98";50;100;1;0;1;4;0,50897;0,50896;0,50896;0,6693;0,66929;0,66929;0,67521;0,67521;0,67521;0,67564;0,67563;0,67563;0,67611;0,6761;0,6761
"99";50;20;0;0;1;0,1;0,04393;0,04393;0,04393;0,1133;0,1133;0,1133;0,10455;0,10454;0,10454;0,11353;0,11353;0,11353;0,1138;0,1138;0,1138
"100";50;20;0;0;1;0,25;0,04405;0,04405;0,04405;0,08556;0,08556;0,08556;0,07672;0,0767099999999999;0,0767099999999999;0,08653;0,08653;0,08653;0,08623;0,08623;0,08623
"101";50;20;0;0;1;0,5;0,04002;0,0400199999999999;0,0400199999999999;0,04396;0,04396;0,04396;0,03601;0,03601;0,03601;0,04382;0,04382;0,04382;0,04254;0,04254;0,04254
"102";50;20;0;0;1;1;0,04281;0,04281;0,04281;0,06514;0,06514;0,06514;0,05546;0,05546;0,05546;0,06492;0,06492;0,06492;0,06478;0,06477;0,06477
"103";50;20;0;0;1;10;0,30659;0,30658;0,30658;0,17676;0,17676;0,17676;0,16783;0,16783;0,16783;0,16921;0,16921;0,16921;0,16849;0,16849;0,16849
"104";50;20;0;0;1;2;0,15292;0,15292;0,15292;0,13638;0,13638;0,13638;0,12649;0,12649;0,12649;0,13661;0,13661;0,13661;0,13437;0,13436;0,13436
"105";50;20;0;0;1;4;0,25875;0,25875;0,25875;0,16379;0,16377;0,16377;0,15454;0,15454;0,15454;0,15993;0,15993;0,15993;0,1576;0,1576;0,1576
"106";50;20;1;0;1;0,1;0,99757;0,99757;0,99757;0,99996;0,99996;0,99996;0,99995;0,99995;0,99995;0,99996;0,99996;0,99996;0,99996;0,99996;0,99996
"107";50;20;1;0;1;0,25;0,99691;0,99691;0,99691;0,99946;0,99946;0,99946;0,99935;0,99935;0,99935;0,99944;0,99944;0,99944;0,99944;0,99944;0,99944
"108";50;20;1;0;1;0,5;0,99125;0,99125;0,99125;0,98854;0,98854;0,98854;0,98732;0,98732;0,98732;0,98815;0,98815;0,98815;0,98784;0,98784;0,98784
"109";50;20;1;0;1;1;0,93321;0,9332;0,9332;0,89947;0,89947;0,89947;0,8916;0,8916;0,8916;0,89705;0,89705;0,89705;0,89482;0,89482;0,89482
"110";50;20;1;0;1;10;0,41526;0,41526;0,41526;0,28257;0,28257;0,28257;0,27132;0,27132;0,27132;0,27242;0,27242;0,27242;0,27176;0,27176;0,27176
"111";50;20;1;0;1;2;0,76721;0,76721;0,76721;0,67563;0,67562;0,67562;0,66146;0,66146;0,66146;0,66918;0,66918;0,66918;0,66568;0,66568;0,66568
"112";50;20;1;0;1;4;0,57227;0,57227;0,57227;0,44409;0,44409;0,44409;0,42944;0,42944;0,42944;0,43425;0,43424;0,43424;0,43179;0,43179;0,43179
"113";50;50;0;0;1;0,1;0,1158;0,1158;0,1158;0,11321;0,11321;0,11321;0,11321;0,11321;0,11321;0,11349;0,11349;0,11349;0,11349;0,11349;0,11349
"114";50;50;0;0;1;0,25;0,10739;0,10739;0,10739;0,10448;0,10448;0,10448;0,10448;0,10447;0,10447;0,1058;0,1058;0,1058;0,1058;0,1058;0,1058
"115";50;50;0;0;1;0,5;0,07502;0,07502;0,07502;0,07217;0,07217;0,07217;0,07217;0,07216;0,07216;0,07409;0,07409;0,07409;0,07409;0,07409;0,07409
"116";50;50;0;0;1;1;0,04171;0,0417;0,0417;0,03856;0,03856;0,03856;0,03856;0,03856;0,03856;0,04039;0,04039;0,04039;0,04039;0,04039;0,04039
"117";50;50;0;0;1;10;0,11769;0,11769;0,11769;0,11482;0,11481;0,11481;0,11482;0,11482;0,11482;0,11521;0,11521;0,11521;0,11521;0,11521;0,11521
"118";50;50;0;0;1;2;0,07427;0,0742699999999999;0,0742699999999999;0,07151;0,0715;0,0715;0,07151;0,07151;0,07151;0,07358;0,07358;0,07358;0,07358;0,07358;0,07358
"119";50;50;0;0;1;4;0,10577;0,10577;0,10577;0,10308;0,10307;0,10307;0,10308;0,10308;0,10308;0,10435;0,10434;0,10434;0,10435;0,10434;0,10434
"120";50;50;1;0;1;0,1;0,99994;0,99994;0,99994;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993;0,99993
"121";50;50;1;0;1;0,25;0,99993;0,99993;0,99993;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992;0,99992
"122";50;50;1;0;1;0,5;0,99951;0,99951;0,99951;0,99946;0,99946;0,99946;0,99946;0,99946;0,99946;0,99947;0,99947;0,99947;0,99947;0,99947;0,99947
"123";50;50;1;0;1;1;0,98233;0,98233;0,98233;0,98167;0,98167;0,98167;0,98167;0,98167;0,98167;0,98202;0,98201;0,98201;0,98202;0,98201;0,98201
"124";50;50;1;0;1;10;0,27413;0,27413;0,27413;0,26976;0,26976;0,26976;0,26976;0,26976;0,26976;0,27012;0,27012;0,27012;0,27012;0,27012;0,27012
"125";50;50;1;0;1;2;0,83451;0,83451;0,83451;0,83071;0,83071;0,83071;0,83071;0,83071;0,83071;0,83232;0,83232;0,83232;0,83232;0,83232;0,83232
"126";50;50;1;0;1;4;0,53621;0,5362;0,5362;0,53039;0,53039;0,53039;0,53039;0,53039;0,53039;0,53181;0,5318;0,5318;0,53181;0,5318;0,5318
