"n1";"n2";"m1";"m2";"sd1";"sd2";"p_cohen";"d_cohen";"g_cohen";"p_glass1";"d_glass1";"g_glass1";"p_glass2";"d_glass2";"g_glass2";"p'_cohen";"d'_cohen";"g'_cohen";"p_shieh";"d_shieh";"g_shieh"
"67";20;20;1;0;1;1;0,8676;0,8676;0,8676;0,85281;0,8528;0,8528;0,85281;0,85281;0,85281;0,86705;0,86704;0,86704;0,86705;0,86704;0,86704
"68";20;20;1;0;1;10;0,07899;0,07899;0,07899;0,06985;0,06985;0,06985;0,06985;0,06985;0,06985;0,07022;0,0702199999999999;0,0702199999999999;0,07022;0,0702199999999999;0,0702199999999999
"69";20;20;1;0;1;2;0,49477;0,49477;0,49477;0,46823;0,4682;0,4682;0,46823;0,46823;0,46823;0,48536;0,48536;0,48536;0,48536;0,48536;0,48536
"70";20;20;1;0;1;4;0,19027;0,19027;0,19027;0,1733;0,1733;0,1733;0,1733;0,1733;0,1733;0,17752;0,17749;0,17749;0,17752;0,17749;0,17749
"71";20;50;0;0;1;0,1;0,21939;0,21938;0,21938;0,04931;0,04931;0,04931;0,05775;0,05775;0,05775;0,04976;0,04976;0,04976;0,04951;0,0495100000000001;0,0495100000000001
"72";20;50;0;0;1;0,25;0,19535;0,19535;0,19535;0,04976;0,04976;0,04976;0,05862;0,05862;0,05862;0,05183;0,05183;0,05183;0,05067;0,05066;0,05066
"73";20;50;0;0;1;0,5;0,13341;0,13341;0,13341;0,04718;0,04717;0,04717;0,05601;0,05599;0,05599;0,05284;0,05284;0,05284;0,05022;0,05022;0,05022
"74";20;50;0;0;1;1;0,05009;0,05009;0,05009;0,04345;0,04345;0,04345;0,0521;0,0521;0,0521;0,05285;0,05285;0,05285;0,05013;0,05013;0,05013
"75";20;50;0;0;1;10;0,00308;0,00307999999999997;0,00307999999999997;0,0411;0,0411;0,0411;0,04966;0,04966;0,04966;0,04981;0,04981;0,04981;0,04995;0,04995;0,04995
"76";20;50;0;0;1;2;0,01152;0,01152;0,01152;0,03967;0,03967;0,03967;0,04814;0,04814;0,04814;0,0495;0,0495;0,0495;0,04949;0,04949;0,04949
"77";20;50;0;0;1;4;0,00428;0,00427999999999995;0,00427999999999995;0,03994;0,03994;0,03994;0,04837;0,04837;0,04837;0,04901;0,049;0,049;0,04957;0,04957;0,04957
"78";20;50;1;0;1;0,1;0,99941;0,99941;0,99941;0,99025;0,99025;0,99025;0,9923;0,9923;0,9923;0,99029;0,99029;0,99029;0,99028;0,99028;0,99028
"79";20;50;1;0;1;0,25;0,99898;0,99897;0,99897;0,98844;0,98844;0,98844;0,99062;0,99062;0,99062;0,98875;0,98875;0,98875;0,98859;0,98859;0,98859
"80";20;50;1;0;1;0,5;0,99702;0,99702;0,99702;0,9831;0,9831;0,9831;0,98643;0,98643;0,98643;0,98484;0,98484;0,98484;0,98399;0,98399;0,98399
"81";20;50;1;0;1;1;0,96088;0,96086;0,96086;0,95099;0,95099;0,95099;0,95893;0,95893;0,95893;0,95914;0,95914;0,95914;0,95685;0,95685;0,95685
"82";20;50;1;0;1;10;0,01024;0,01024;0,01024;0,08993;0,08992;0,08992;0,10413;0,10413;0,10413;0,10436;0,10436;0,10436;0,10462;0,10462;0,10462
"83";20;50;1;0;1;2;0,56993;0,56993;0,56993;0,74984;0,74983;0,74983;0,77591;0,77591;0,77591;0,77961;0,77961;0,77961;0,77921;0,77919;0,77919
"84";20;50;1;0;1;4;0,10142;0,10139;0,10139;0,3314;0,3314;0,3314;0,36142;0,36142;0,36142;0,36335;0,36334;0,36334;0,36523;0,36521;0,36521
"85";50;100;0;0;1;0,1;0,16513;0,16513;0,16513;0,04924;0,04924;0,04924;0,05204;0,05204;0,05204;0,04942;0,04942;0,04942;0,04933;0,04933;0,04933
"86";50;100;0;0;1;0,25;0,15033;0,15033;0,15033;0,04893;0,04893;0,04893;0,0517;0,0517;0,0517;0,04973;0,04972;0,04972;0,04941;0,04941;0,04941
"87";50;100;0;0;1;0,5;0,10998;0,10998;0,10998;0,04775;0,04775;0,04775;0,05067;0,05067;0,05067;0,04993;0,04992;0,04992;0,04915;0,04915;0,04915
"88";50;100;0;0;1;1;0,05042;0,05042;0,05042;0,04762;0,04762;0,04762;0,05051;0,0505100000000001;0,0505100000000001;0,05113;0,05113;0,05113;0,05051;0,0505100000000001;0,0505100000000001
"89";50;100;0;0;1;10;0,00686;0,00685000000000002;0,00685000000000002;0,04724;0,0472399999999999;0,0472399999999999;0,05015;0,05015;0,05015;0,05021;0,05021;0,05021;0,05025;0,05025;0,05025
"90";50;100;0;0;1;2;0,01679;0,01679;0,01679;0,04561;0,04561;0,04561;0,04836;0,04836;0,04836;0,04912;0,04911;0,04911;0,04922;0,04922;0,04922
"91";50;100;0;0;1;4;0,00864;0,00863999999999998;0,00863999999999998;0,04565;0,04565;0,04565;0,04839;0,04838;0,04838;0,04867;0,04867;0,04867;0,04888;0,04887;0,04887
"92";50;100;1;0;1;0,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"93";50;100;1;0;1;0,25;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"94";50;100;1;0;1;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
